Distance [pm],  g(O-O),  g(O-H),  g(H-H)
1098.000000,  0.9914754097,  0.9977478591,  0.9966874912
1102.000000,  0.9905478914,  0.9979287861,  0.9961602298
1106.000000,  0.9912077793,  0.9972362831,  0.9963383412
1110.000000,  0.9916298250,  0.9974422302,  0.9963974261
1114.000000,  0.9919804969,  0.9977293437,  0.9970883734
1118.000000,  0.9909270390,  0.9980367876,  0.9972144196
1122.000000,  0.9912831121,  0.9985155786,  0.9973068959
1126.000000,  0.9928420491,  0.9988593431,  0.9970979691
1130.000000,  0.9929158577,  0.9983400449,  0.9972458041
1134.000000,  0.9931224040,  0.9978748747,  0.9978332385
1138.000000,  0.9943097665,  0.9982700390,  0.9985637142
1142.000000,  0.9943558080,  0.9984603724,  0.9980377282
1146.000000,  0.9950143813,  0.9989418292,  0.9975830100
1150.000000,  0.9950735471,  0.9988851668,  0.9980701584
1154.000000,  0.9955811184,  0.9986250936,  0.9983008312
1158.000000,  0.9967680439,  0.9989190122,  0.9985638060
1162.000000,  0.9977467770,  0.9990632604,  0.9983509236
1166.000000,  0.9978215915,  0.9999657690,  0.9987621525
1170.000000,  0.9993181438,  0.9998927899,  0.9984207827
1174.000000,  0.9996016476,  0.9989108772,  0.9990168281
1178.000000,  1.000007002,  0.9991524388,  1.000240803
1182.000000,  1.000349826,  0.9993759461,  1.000383126
1186.000000,  1.000487269,  0.9996341191,  1.000270477
1190.000000,  1.001955885,  0.9990780727,  1.000292018
1194.000000,  1.001979243,  0.9996743164,  1.000084045
1198.000000,  1.002170831,  0.9996099966,  0.9992264619
